date,open,high,low,close,adjusted close,volume,symbol,company
11/4/2020,114.14,115.59,112.35,114.95,114.2148441,138235482,AAPL,Apple Inc
11/5/2020,117.95,119.62,116.8686,119.03,118.2687507,126387074,AAPL,Apple Inc
11/6/2020,118.32,119.2,116.13,118.69,118.1346141,114457922,AAPL,Apple Inc
11/9/2020,120.5,121.99,116.05,116.32,115.775704,154515315,AAPL,Apple Inc
11/10/2020,115.55,117.59,114.13,115.97,115.4273418,138023390,AAPL,Apple Inc
11/11/2020,117.19,119.63,116.44,119.49,118.9308707,112294954,AAPL,Apple Inc
11/12/2020,119.62,120.53,118.57,119.21,118.6521809,103350674,AAPL,Apple Inc
11/13/2020,119.44,119.6717,117.87,119.26,118.7019469,81688586,AAPL,Apple Inc
11/16/2020,118.92,120.99,118.146,120.3,119.7370804,91183018,AAPL,Apple Inc
11/17/2020,119.55,120.6741,118.96,119.39,118.8313386,74270973,AAPL,Apple Inc
11/18/2020,118.61,119.82,118,118.03,117.4777024,76322111,AAPL,Apple Inc
11/19/2020,117.59,119.06,116.81,118.64,118.0848481,74112972,AAPL,Apple Inc
11/20/2020,118.64,118.77,117.29,117.34,116.7909311,73604287,AAPL,Apple Inc
11/23/2020,117.18,117.6202,113.75,113.85,113.3172619,127959318,AAPL,Apple Inc
11/24/2020,113.91,115.85,112.59,115.17,114.6310852,113226248,AAPL,Apple Inc
11/25/2020,115.55,116.75,115.17,116.03,115.487061,76499234,AAPL,Apple Inc
11/27/2020,116.57,117.49,116.22,116.59,116.0444406,46691331,AAPL,Apple Inc
11/30/2020,116.97,120.97,116.81,119.05,118.4929295,169410176,AAPL,Apple Inc
12/1/2020,121.01,123.4693,120.01,122.72,122.1457565,125920963,AAPL,Apple Inc
12/2/2020,122.02,123.37,120.89,123.08,122.504072,89004195,AAPL,Apple Inc
12/3/2020,123.52,123.78,122.21,122.94,122.3647271,78967630,AAPL,Apple Inc
12/4/2020,122.6,122.8608,121.52,122.25,121.6779558,78260421,AAPL,Apple Inc
12/7/2020,122.31,124.57,122.25,123.75,123.1709368,86711990,AAPL,Apple Inc
12/8/2020,124.37,124.98,123.09,124.38,123.7979889,82225512,AAPL,Apple Inc
12/9/2020,124.53,125.95,121,121.78,121.2101551,115089193,AAPL,Apple Inc
12/10/2020,120.5,123.87,120.15,123.24,122.6633233,81312170,AAPL,Apple Inc
12/11/2020,122.43,122.76,120.55,122.41,121.8372071,86939786,AAPL,Apple Inc
12/14/2020,122.6,123.35,121.54,121.78,121.2101551,79075988,AAPL,Apple Inc
12/15/2020,124.34,127.9,124.13,127.88,127.2816113,157572262,AAPL,Apple Inc
12/16/2020,127.41,128.37,126.56,127.81,127.2119389,98208591,AAPL,Apple Inc
12/17/2020,128.9,129.58,128.045,128.7,128.0977743,94359811,AAPL,Apple Inc
12/18/2020,128.96,129.1,126.12,126.655,126.0623435,192541496,AAPL,Apple Inc
12/21/2020,125.02,128.31,123.449,128.23,127.6299736,121251553,AAPL,Apple Inc
12/22/2020,131.61,134.405,129.65,131.88,131.2628942,169351825,AAPL,Apple Inc
12/23/2020,132.16,132.43,130.78,130.96,130.3471991,88223692,AAPL,Apple Inc
12/24/2020,131.32,133.46,131.1,131.97,131.352473,54930064,AAPL,Apple Inc
12/28/2020,133.99,137.34,133.51,136.69,136.0503867,123124632,AAPL,Apple Inc
12/29/2020,138.05,138.789,134.3409,134.87,134.2389031,121047324,AAPL,Apple Inc
12/30/2020,135.58,135.99,133.4,133.72,133.0942842,96452124,AAPL,Apple Inc
12/31/2020,134.08,134.74,131.72,132.69,132.0691039,99116586,AAPL,Apple Inc
1/4/2021,133.52,133.6116,126.76,129.41,128.804452,143301887,AAPL,Apple Inc
1/5/2021,128.89,131.74,128.43,131.01,130.3969651,97664898,AAPL,Apple Inc
1/6/2021,127.72,131.0499,126.382,126.6,126.0076008,155087970,AAPL,Apple Inc
1/7/2021,128.36,131.63,127.86,130.92,130.3073863,109578157,AAPL,Apple Inc
1/8/2021,132.43,132.63,130.23,132.05,131.4320987,105158245,AAPL,Apple Inc
1/11/2021,129.19,130.17,128.5,128.98,128.3764641,100620880,AAPL,Apple Inc
1/12/2021,128.5,129.69,126.86,128.8,128.1973064,90440255,AAPL,Apple Inc
1/13/2021,128.76,131.45,128.49,130.89,130.2775267,88636831,AAPL,Apple Inc
1/14/2021,130.8,131,128.76,128.91,128.3067917,90221755,AAPL,Apple Inc
1/15/2021,128.78,130.2242,127,127.14,126.545074,111598531,AAPL,Apple Inc
1/19/2021,127.78,128.71,126.938,127.83,127.2318453,90757329,AAPL,Apple Inc
1/20/2021,128.66,132.49,128.55,132.03,131.4121923,104319489,AAPL,Apple Inc
1/21/2021,133.8,139.67,133.59,136.87,136.2295445,120529544,AAPL,Apple Inc
1/22/2021,136.28,139.85,135.02,139.07,138.41925,114459360,AAPL,Apple Inc
1/25/2021,143.07,145.09,136.54,142.92,142.2512347,157611713,AAPL,Apple Inc
1/26/2021,143.6,144.3,141.37,143.16,142.4901117,98390555,AAPL,Apple Inc
1/27/2021,143.43,144.3,140.41,142.06,141.3952589,140843759,AAPL,Apple Inc
1/28/2021,139.52,141.99,136.7,137.09,136.448515,142621128,AAPL,Apple Inc
1/29/2021,135.83,136.74,130.21,131.96,131.3425198,177523812,AAPL,Apple Inc
2/1/2021,133.75,135.38,130.93,134.14,133.5123189,106239823,AAPL,Apple Inc
2/2/2021,135.73,136.31,134.61,134.99,134.3583415,82266419,AAPL,Apple Inc
2/3/2021,135.76,135.77,133.61,133.94,133.3132548,89880937,AAPL,Apple Inc
2/4/2021,136.3,137.4,134.59,137.39,136.7471112,84183061,AAPL,Apple Inc
